Target Word,AI Prediction_Cosine,Hybrid Prediction_Cosine,Rule-Based Prediction,AI Prediction_Euclidean,Hybrid Prediction_Euclidean,Entropy Prediction,Steps
ÖZGÜR,SUTUR,POTUR,ÖZGÜR,ÖNGÜR,ÖZGÜR,BÖĞÜR,3
ÖZGÜR,SIĞÜR,SIĞIR,ÖZGÜR,ÖZGÜR,ÖZGÜR,ÖZGÜR,4
ÖZGÜR,GÜĞÜR,GÜBÜR,ÖZGÜR,ÖZGÜR,ÖZGÜR,ÖZGÜR,5
HUSUS,ZENNE,ZENNE,ZENNE,ZENNE,ZENNE,ZENNE,1
HUSUS,KARAA,ARAKA,KAYRA,KARAA,KARHA,TARAK,1
HUSUS,SİLİM,İSLİM,DİDİM,HİTİM,HİTİT,SOLUŞ,2
HUSUS,SUSUÜ,SÜTSÜ,ÖTÜCÜ,HUSUM,HUSUS,HUMUS,3
HUSUS,HUSUS,HUSUS,PULUÇ,HUSUS,HUSUS,HUSUS,4
HUSUS,HUSUS,HUSUS,SUSUŞ,HUSUS,HUSUS,HUSUS,5
ZAYIF,SİREN,SİREN,SİREN,SİREN,SİREN,SİREN,1
ZAYIF,KALAA,AKALA,KILIÇ,KALAA,KALMA,TALAK,1
ZAYIF,TAMAT,TADIM,VAZIH,TATII,YATIŞ,YAZIM,2
ZAYIF,YAĞIŞ,YAĞIŞ,YAĞIZ,HAYIŞ,HAYIZ,HAYIZ,3
ZAYIF,HAYIŞ,HAYIZ,ZAYIF,ZAYIF,ZAYIF,ZAYIF,4
ZAYIF,ZAYIF,ZAYIF,ZAYIF,ZAYIF,ZAYIF,ZAYIF,5
EKMEK,MELUL,MELUL,MELUL,MELUL,MELUL,MELUL,1
EKMEK,EİMME,ÇİMME,SÜRME,EİMME,ÇİMME,KİMSE,1
EKMEK,EÜMEK,ÜTMEK,EĞMEÇ,EÜMEK,EZMEK,ETMEK,2
EKMEK,ERMEK,ERMEK,EMMEK,EĞMEK,EĞMEK,EĞMEK,3
EKMEK,EĞMEK,EĞMEK,EKMEK,EĞMEK,ESMEK,EKMEK,4
EKMEK,EĞMEK,EKMEK,EKMEK,EĞMEK,ERMEK,EKMEK,5
YASAK,YILGI,YILGI,YILGI,YILGI,YILGI,YILGI,1
YASAK,YARAK,YARAK,YANAZ,YARAK,YARAK,YUMAK,1
YASAK,YAMAK,YAMAK,YAMAÇ,YAMAK,YAMAK,YANAK,2
YASAK,YATAK,YATAK,YAVAŞ,YATAK,YATAK,YAPAK,3
YASAK,YANAK,YANAK,YAPAY,YANAK,YANAK,YARAK,4
YASAK,YAPAK,YAPAK,YARAK,YAPAK,YAPAK,YASAK,5
DALGA,KANMA,KANMA,KANMA,KANMA,KANMA,KANMA,1
DALGA,SARTA,HASTA,SAFHA,SARTA,SALTA,HAYTA,1
DALGA,BARLA,BARÇA,LARVA,HALYA,FALYA,SALPA,2
DALGA,HALLA,VALLA,DALGA,DALYA,DALGA,DALGA,3
DALGA,HALCA,DALGA,DALGA,DALGA,DALGA,DALGA,4
DALGA,DALGA,DALGA,DALGA,DALGA,DALGA,DALGA,5
DEMİR,HAKÇA,HAKÇA,HAKÇA,HAKÇA,HAKÇA,HAKÇA,1
DEMİR,SEREE,ESİRE,FİDYE,SEREE,SEREN,SERİN,1
DEMİR,DERİR,DİREY,EDEBİ,REMİR,DEMİR,CEZİR,2
DEMİR,DEVİR,DEVİR,DEİST,DEMİR,DEMİR,DEVİR,3
DEMİR,DEVİR,DEMİR,DEVİM,DEMİR,DEMİR,DEMİR,4
DEMİR,DEMİR,DEMİR,DEMİR,DEMİR,DEMİR,DEMİR,5
GEÇİŞ,KORAL,KORAL,KORAL,KORAL,KORAL,KORAL,1
GEÇİŞ,SENİE,NESİH,GÖNEN,SENİE,SENİT,SENİT,1
GEÇİŞ,GETİM,TEDİP,GÜTME,GEZİM,GEÇİM,DEYİM,2
GEÇİŞ,GEMİM,GEÇİM,GEÇİŞ,GEÇİŞ,GEÇİŞ,BEŞİZ,3
GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,4
GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,GEÇİŞ,5
DOĞUM,TAPON,TAPON,TAPON,TAPON,TAPON,TAPON,1
DOĞUM,KORUK,KORKU,FOSİL,KORUK,KORUK,MORUK,1
DOĞUM,SOLUM,DOLUM,JOKER,SOLUM,DOLUM,DOĞUM,2
DOĞUM,DOĞUM,DOĞUM,DOMUZ,DOĞUM,DOĞUM,DOĞUM,3
DOĞUM,DOĞUM,DOĞUM,DOĞUM,DOĞUM,DOĞUM,DOĞUM,4
DOĞUM,DOĞUM,DOĞUM,DOĞUM,DOĞUM,DOĞUM,DOĞUM,5
TATLI,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,ÖLÇÜN,1
TATLI,KALAL,TAKLA,LEYDİ,KALAL,HALAT,MALİK,1
TATLI,TARLI,TATLI,BULMA,TATLL,TATİL,TAVLA,2
TATLI,TATLI,TATLI,KORAL,TATLI,TATLI,TAŞLI,3
TATLI,TATLI,TATLI,AZILI,TATLI,TATLI,TATLI,4
TATLI,TATLI,TATLI,PASLI,TATLI,TATLI,TATLI,5
KİTLE,SÜTUN,SÜTUN,SÜTUN,SÜTUN,SÜTUN,SÜTUN,1
KİTLE,AATAK,AKTAR,RÖTAR,AATAK,PATAK,KATİL,1
KİTLE,KİTİK,YİTİK,BİTME,KETİE,YETKE,KİTLE,2
KİTLE,KİTEE,KİTLE,KİTLE,KİTME,KİTLE,KİTLE,3
KİTLE,KİTLE,KİTLE,KİTLE,KİTLE,KİTLE,KİTLE,4
KİTLE,KİTLE,KİTLE,KİTLE,KİTLE,KİTLE,KİTLE,5
YETKİ,ALTAR,ALTAR,ALTAR,ALTAR,ALTAR,ALTAR,1
YETKİ,KETİK,YETİK,TOTEM,KETİK,YETİK,BİTEK,1
YETKİ,YETKİ,YETKİ,SETİK,YETKİ,YETKİ,YETKİ,2
YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,3
YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,4
YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,YETKİ,5
TUTUM,YAHNİ,YAHNİ,YAHNİ,YAHNİ,YAHNİ,YAHNİ,1
TUTUM,KEREE,CEDRE,PÜTÜR,KEREE,KERDE,SÜREK,1
TUTUM,KULUK,KUMUK,SUTLU,SULUU,PULUÇ,TULUM,2
TUTUM,MULUM,TULUM,TUTUŞ,SUTUM,TUTUM,TUTUM,3
TUTUM,TUTUM,TUTUM,TUTUM,TUTUM,TUTUM,TUTUM,4
TUTUM,TUTUM,TUTUM,TUTUM,TUTUM,TUTUM,TUTUM,5
TÖREN,RİNGA,RİNGA,RİNGA,RİNGA,RİNGA,RİNGA,1
TÖREN,KEREN,NEKRE,ERKEN,KEREN,SEREN,PERON,1
TÖREN,ERREN,MOREN,MOREN,GÜREN,MOREN,EVREN,2
TÖREN,SÜREN,PÜREN,TÖREN,GÜREN,PÜREN,TÖREN,3
TÖREN,GÖREN,TÖREN,TÖREN,GÖREN,TÖREN,TÖREN,4
TÖREN,TÖREN,TÖREN,TÖREN,TÖREN,TÖREN,TÖREN,5
KÖYLÜ,ÇEKEL,ÇEKEL,ÇEKEL,ÇEKEL,ÇEKEL,ÇEKEL,1
KÖYLÜ,KALAK,KALAK,MALAK,KALAK,KALAK,SALIK,1
KÖYLÜ,KUNLU,KUMLU,KÜFLÜ,KUNLU,KUMLU,KÜTLÜ,2
KÖYLÜ,KITLÜ,KÜPLÜ,KÖYLÜ,KITLÜ,KÜTLÜ,KÖYLÜ,3
KÖYLÜ,KÖPLÜ,KÖYLÜ,KÖYLÜ,KÖPLÜ,KÖYLÜ,KÖYLÜ,4
KÖYLÜ,KÖYLÜ,KÖYLÜ,KÖYLÜ,KÖYLÜ,KÖYLÜ,KÖYLÜ,5
ORGAN,BATIN,BATIN,BATIN,BATIN,BATIN,BATIN,1
ORGAN,AEMAN,OĞLAN,AYNEN,AEMAN,ALMAN,İMKAN,1
ORGAN,ORMAN,ORMAN,HODAN,KERAN,ŞERAN,ORGAN,2
ORGAN,ORGAN,ORGAN,ORMAN,RRGAN,ORGAN,ORGAN,3
ORGAN,ORGAN,ORGAN,ORGAN,ORGAN,ORGAN,ORGAN,4
ORGAN,ORGAN,ORGAN,ORGAN,ORGAN,ORGAN,ORGAN,5
YAZIK,EBELİ,EBELİ,EBELİ,EBELİ,EBELİ,EBELİ,1
YAZIK,KARAA,ARAKA,GUSTO,KARAA,KARMA,TARAK,1
YAZIK,KAKAK,KAKIÇ,PAYAN,SAKIK,SAÇIK,KAYIK,2
YAZIK,SAKIK,SAPIK,YARIŞ,BATIK,YATIK,YANIK,3
YAZIK,BANIK,TANIK,YAKIM,YANIK,YANIK,YAPIK,4
YAZIK,CACIK,CACIK,YAZIK,YAPIK,YAPIK,YAZIK,5
SANAT,LAVUK,LAVUK,LAVUK,LAVUK,LAVUK,LAVUK,1
SANAT,SARAA,PARAF,FARAŞ,SARAA,SARMA,SARAT,1
SANAT,SANAN,SAHAN,BABAİ,SAVAN,SAZAN,SANAT,2
SANAT,SANAT,SANAT,SAPAN,SANAT,SANAT,SANAT,3
SANAT,SANAT,SANAT,SANAT,SANAT,SANAT,SANAT,4
SANAT,SANAT,SANAT,SANAT,SANAT,SANAT,SANAT,5
HALKA,PİLLİ,PİLLİ,PİLLİ,PİLLİ,PİLLİ,PİLLİ,1
HALKA,KALAK,KALAK,YELEK,KALAK,KALAK,KELAM,1
HALKA,SALKA,HALKA,KULUN,SALKA,HALKA,AÇLIK,2
HALKA,HALKA,HALKA,BALKI,HALKA,HALKA,HALKA,3
HALKA,HALKA,HALKA,HALKA,HALKA,HALKA,HALKA,4
HALKA,HALKA,HALKA,HALKA,HALKA,HALKA,HALKA,5
KÖPEK,LADES,LADES,LADES,LADES,LADES,LADES,1
KÖPEK,DEREK,ÇEKER,GEVEN,DEREK,TEREK,TEREK,1
KÖPEK,KİMEK,ÖPMEK,ÜTMEK,DÖMEK,GÖBEK,BİŞEK,2
KÖPEK,ÇÖNEK,KÖPEK,BÖREK,GÖNEK,KÖŞEK,KÖPEK,3
KÖPEK,KÖPEK,KÖPEK,KÖÇEK,KÖPEK,KÖPEK,KÖPEK,4
KÖPEK,KÖPEK,KÖPEK,KÖPEK,KÖPEK,KÖPEK,KÖPEK,5
YERLİ,ADSIZ,ADSIZ,ADSIZ,ADSIZ,ADSIZ,ADSIZ,1
YERLİ,KELEK,KELEK,YERGİ,KELEK,KELEK,KERİM,1
YERLİ,MEMİL,MEMUL,YERLİ,MEMİL,MEMUL,YERGİ,2
YERLİ,LENLİ,BENLİ,YERLİ,LENLİ,BENLİ,YERLİ,3
YERLİ,TERLİ,TERLİ,YERLİ,TERLİ,TERLİ,YERLİ,4
YERLİ,BERLİ,YERLİ,YERLİ,BERLİ,YERLİ,YERLİ,5
LİDER,SÜRFE,SÜRFE,SÜRFE,SÜRFE,SÜRFE,SÜRFE,1
LİDER,REMER,ERMEK,KİLER,REMER,REMEL,TEKİR,1
LİDER,BİLER,BİBER,LİGER,ÖİLER,KİLER,GİDER,2
LİDER,LİNER,DİĞER,LİDER,LİGER,LİGER,LİDER,3
LİDER,LİDER,LİDER,LİDER,LİGER,LİDER,LİDER,4
LİDER,LİDER,LİDER,LİDER,LİDER,LİDER,LİDER,5
İŞLEV,YARAŞ,YARAŞ,YARAŞ,YARAŞ,YARAŞ,YARAŞ,1
İŞLEV,ŞEŞİK,ŞİŞEK,DÜŞÜT,ŞEŞİK,BEŞİK,DEŞİK,1
İŞLEV,İŞŞET,İŞLEV,ŞİLEP,ŞİLEE,ŞİLTE,İŞEME,2
İŞLEV,İŞLEV,İŞLEV,İŞLEK,İŞLEM,İŞLEM,İŞLEV,3
İŞLEV,İŞLEV,İŞLEV,İŞLEM,İŞLEV,İŞLEV,İŞLEV,4
İŞLEV,İŞLEV,İŞLEV,İŞLEV,İŞLEV,İŞLEV,İŞLEV,5
NİYET,PAGAN,PAGAN,PAGAN,PAGAN,PAGAN,PAGAN,1
NİYET,NENEE,ÇENEK,SINDI,NENEE,NEŞET,KENDİ,1
NİYET,NNSER,ÖNSEL,ENZİM,NİKET,NİYET,FİTNE,2
NİYET,NİZER,NİYET,NİKEL,NİYET,NİYET,NİMET,3
NİYET,NİYET,NİYET,NİYET,NİYET,NİYET,NİYET,4
NİYET,NİYET,NİYET,NİYET,NİYET,NİYET,NİYET,5
SURET,NAKŞİ,NAKŞİ,NAKŞİ,NAKŞİ,NAKŞİ,NAKŞİ,1
SURET,SEREE,SERÇE,BESTE,SEREE,SERME,TÜREL,1
SURET,SÜREM,SÜREM,ÜSTEL,SÜRET,SÜREÇ,STREÇ,2
SURET,STRET,STRES,STREÇ,STRET,STRES,SURET,3
SURET,STRET,SURET,SURET,STRET,SURET,SURET,4
SURET,SURET,SURET,SURET,SURET,SURET,SURET,5
YEREL,DOYMA,DOYMA,DOYMA,DOYMA,DOYMA,DOYMA,1
YEREL,YELEE,YEREL,GÖNYE,YELEE,YELEK,YENİK,1
YEREL,YEREL,YEREL,YERLİ,YENEL,YEREL,YEREL,2
YEREL,YEREL,YEREL,YEREL,YEREL,YEREL,YEREL,3
YEREL,YEREL,YEREL,YEREL,YEREL,YEREL,YEREL,4
YEREL,YEREL,YEREL,YEREL,YEREL,YEREL,YEREL,5
MAYIS,TEYİT,TEYİT,TEYİT,TEYİT,TEYİT,TEYİT,1
MAYIS,KAYAA,KAYAN,HAYDA,KAYAA,KAYAN,KAYIN,1
MAYIS,SAYII,SAYGI,YAYLI,SAYII,SAYGI,SAYIŞ,2
MAYIS,HAYIF,MAYIS,BAYIR,HAYIF,MAYIS,MAYIS,3
MAYIS,MAYIS,MAYIS,SAYIN,MAYIS,MAYIS,MAYIS,4
MAYIS,MAYIS,MAYIS,MAYIS,MAYIS,MAYIS,MAYIS,5
GELİN,KILIF,KILIF,KILIF,KILIF,KILIF,KILIF,1
GELİN,SALAA,HALAS,ÇALMA,SALAA,SALAH,SELAM,1
GELİN,BELEE,BELCE,YÜLGÜ,BELEE,BELCE,BELİT,2
GELİN,MELİİ,GELİM,GELİŞ,MELİİ,PELİN,GELİN,3
GELİN,GELİŞ,GELİŞ,GELİR,BELİN,TELİN,GELİN,4
GELİN,GELİT,GELİR,GELİN,BELİN,YELİN,GELİN,5
YARIM,ORFOZ,ORFOZ,ORFOZ,ORFOZ,ORFOZ,ORFOZ,1
YARIM,SARAR,HASAR,RÜKÜŞ,SARAR,HARAR,TARİK,1
YARIM,KARII,RAKIM,ABARA,SARII,SARIM,MARYA,2
YARIM,YARIM,YARIM,MERAM,YARIM,YARIM,YARIM,3
YARIM,YARIM,YARIM,HARİM,YARIM,YARIM,YARIM,4
YARIM,YARIM,YARIM,YARIM,YARIM,YARIM,YARIM,5
KAHVE,AHRAZ,AHRAZ,AHRAZ,AHRAZ,AHRAZ,AHRAZ,1
KAHVE,HAHİA,HAMSİ,HAŞİŞ,HAHİA,HADİM,HALİS,1
KAHVE,KAHIE,KAHPE,MAHUT,SAHIE,SATIH,MAHFE,2
KAHVE,KAHNE,KAHVE,YAHEY,KAHUE,KAHPE,KAHPE,3
KAHVE,KAHVE,KAHVE,KAHPE,KAHNE,KAHVE,KAHVE,4
KAHVE,KAHVE,KAHVE,KAHVE,KAHVE,KAHVE,KAHVE,5
FİYAT,ERDEM,ERDEM,ERDEM,ERDEM,ERDEM,ERDEM,1
FİYAT,KALAK,KALAK,TAOCU,KALAK,KALAK,TALİK,1
FİYAT,İİNAN,CİNAİ,ÜÇTAŞ,İİNAN,FİGAN,HİTAN,2
FİYAT,SİTAT,ŞİTAP,İTLAF,FİSAT,FİYAT,FİYAT,3
FİYAT,TİSAT,FİYAT,FİYAT,FİYAT,FİYAT,FİYAT,4
FİYAT,FİYAT,FİYAT,FİYAT,FİYAT,FİYAT,FİYAT,5
ROMAN,DOMUZ,DOMUZ,DOMUZ,DOMUZ,DOMUZ,DOMUZ,1
ROMAN,KOMAA,SOMAK,ÇOMAR,KOMAA,KOMAR,TOMAK,1
ROMAN,TOMAN,ROMAN,ROMAN,ROMAN,ROMAN,ÇOMAR,2
ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,3
ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,4
ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,ROMAN,5
TARIM,GELİŞ,GELİŞ,GELİŞ,GELİŞ,GELİŞ,GELİŞ,1
TARIM,KARAA,ARAKA,YAMÇI,KARAA,BARAS,TARAK,1
TARIM,SARAR,ISRAR,HADIM,KARII,KARIN,TARIM,2
TARIM,YARII,YARIM,TAKIM,YARIM,YARIM,TARIM,3
TARIM,TARIM,TARIM,TARIM,TARIM,TARIM,TARIM,4
TARIM,TARIM,TARIM,TARIM,TARIM,TARIM,TARIM,5
KUŞAK,SANAT,SANAT,SANAT,SANAT,SANAT,SANAT,1
KUŞAK,KERAK,MERAK,PİKAP,KERAK,MERAK,MERAK,1
KUŞAK,KULAK,KULAK,BOĞAK,KULAK,KULAK,KULAK,2
KUŞAK,KUŞAK,KUŞAK,IHMAK,KUŞAK,KUŞAK,KUCAK,3
KUŞAK,KUŞAK,KUŞAK,ERZAK,KUŞAK,KUŞAK,KUŞAK,4
KUŞAK,KUŞAK,KUŞAK,KULAK,KUŞAK,KUŞAK,KUŞAK,5
ARTIŞ,GUSTO,GUSTO,GUSTO,GUSTO,GUSTO,GUSTO,1
ARTIŞ,TATAT,İTAAT,LATİN,TATAT,TADAT,TARİK,1
ARTIŞ,TATIA,TAÇLI,DETAY,ANTEA,ANTEP,ARTIM,2
ARTIŞ,ARTIK,ARTIK,ARTIM,ARTIK,ARTIK,ARTIN,3
ARTIŞ,ARTIM,ARTIM,ARTIŞ,ARTIM,ARTIM,ARTIŞ,4
ARTIŞ,ARTIN,ARTIN,ARTIŞ,ARTIŞ,ARTIŞ,ARTIŞ,5
ADETA,ŞANLI,ŞANLI,ŞANLI,ŞANLI,ŞANLI,ŞANLI,1
ADETA,AURAA,ARABA,BEKAR,AURAA,SURAT,MERAK,1
ADETA,ACAMA,ADETA,ESASİ,AOATA,İHATA,İZABE,2
ADETA,ACEBA,ADETA,ACEZE,KOFTA,ADETA,ADETA,3
ADETA,ABEBA,ADETA,ADETA,ATETA,ADETA,ADETA,4
ADETA,ABEBA,ADETA,ADETA,ACETA,ADETA,ADETA,5
TIPKI,ELGİN,ELGİN,ELGİN,ELGİN,ELGİN,ELGİN,1
TIPKI,KARAA,ARAKA,ORTAÇ,KARAA,KARHA,TARAK,1
TIPKI,KITKÜ,TIPKI,MUŞTU,SÜKÜK,SÜMÜK,TIKIZ,2
TIPKI,TIPKI,TIPKI,ÜTÜCÜ,BIKIŞ,BIKIŞ,TIPKI,3
TIPKI,TIPKI,TIPKI,TIKIZ,BIŞKI,TIPKI,TIPKI,4
TIPKI,TIPKI,TIPKI,TIPKI,TIPKI,TIPKI,TIPKI,5
TEMİZ,GAFİL,GAFİL,GAFİL,GAFİL,GAFİL,GAFİL,1
TEMİZ,SERİK,ESRİK,HİTİT,SERİK,SERİK,KERİM,1
TEMİZ,DENİN,DEMİN,TUNİK,DENİN,DEMİN,METİN,2
TEMİZ,ÇEMİŞ,ÇEMİŞ,TERİM,ÇEMİŞ,ÇEMİŞ,TEMİZ,3
TEMİZ,DEMİZ,TEMİZ,TEMİZ,ÇEMİZ,TEMİZ,TEMİZ,4
TEMİZ,TEMİZ,TEMİZ,TEMİZ,TEMİZ,TEMİZ,TEMİZ,5
VERGİ,YÜLÜK,YÜLÜK,YÜLÜK,YÜLÜK,YÜLÜK,YÜLÜK,1
VERGİ,SARAA,BARÇA,FEMUR,SARAA,SARAÇ,MİRAT,1
VERGİ,TERİE,PİRİT,GERÇİ,TERİE,GERİZ,DERGİ,2
VERGİ,SERMİ,FERDİ,SERGİ,DERGİ,DERGİ,GERGİ,3
VERGİ,MERGİ,GERGİ,VERGİ,YERGİ,VERGİ,SERGİ,4
VERGİ,SERGİ,SERGİ,VERGİ,VERGİ,VERGİ,VERGİ,5
HUZUR,DÜŞEY,DÜŞEY,DÜŞEY,DÜŞEY,DÜŞEY,DÜŞEY,1
HUZUR,KARAA,ARAKA,MASUM,KARAA,KARAR,TARİK,1
HUZUR,SİRİR,İSPİR,ZUHUR,MİTUR,POTUR,MUZUR,2
HUZUR,MUTUR,GURUR,HUZUR,MUHUR,MUCUR,HUZUR,3
HUZUR,MUHUR,HUZUR,HUZUR,SUHUR,ZUHUR,HUZUR,4
HUZUR,HUZUR,HUZUR,HUZUR,HUZUR,HUZUR,HUZUR,5
BURUN,TETİR,TETİR,TETİR,TETİR,TETİR,TETİR,1
BURUN,KARAA,ARAKA,SARMA,KARAA,KARAF,KARMA,1
BURUN,SORUU,GURUP,KIRIK,SÜRUM,SORUM,SORGU,2
BURUN,SURUM,SURUÇ,VURUŞ,DURUN,DURUŞ,DURUŞ,3
BURUN,DURUM,DURUM,BURUN,VURUN,BURUN,BURUN,4
BURUN,VURUN,VURUŞ,BURUN,BURUN,BURUN,BURUN,5
TATİL,BÖREK,BÖREK,BÖREK,BÖREK,BÖREK,BÖREK,1
TATİL,SALAA,ADALI,HAHHA,SALAA,SALAH,SALİM,1
TATİL,SALAL,SULTA,TATLI,TANLI,VANLI,LATİF,2
TATİL,LATAL,LATİN,TATİL,LAMİL,ŞAMİL,TATİL,3
TATİL,MATİL,TATİL,TATİL,TAHİL,TACİL,TATİL,4
TATİL,TATİL,TATİL,TATİL,TACİL,TATİL,TATİL,5
ÖNLEM,YALAK,YALAK,YALAK,YALAK,YALAK,YALAK,1
ÖNLEM,SELEE,CELSE,JİLET,SELEE,SELEF,SELİM,1
ÖNLEM,EİLET,JİLET,EŞLEM,İİLET,BİLET,ENLEM,2
ÖNLEM,GÖLEN,ÖZLEM,ÖZLEM,GÖLEN,ŞÖLEN,ÖNLEM,3
ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,4
ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,ÖNLEM,5
BAKAN,PAYAN,PAYAN,PAYAN,PAYAN,PAYAN,PAYAN,1
BAKAN,KAMAN,KAMAN,KAZAN,KAMAN,KAMAN,BAKAN,1
BAKAN,SAKAN,BAKAN,HAKAN,SAKAN,BAKAN,BAKAN,2
BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,3
BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,4
BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,BAKAN,5
NİÇİN,KRAÇA,KRAÇA,KRAÇA,KRAÇA,KRAÇA,KRAÇA,1
NİÇİN,ÇELEN,ÇELEN,OTÇUL,ÇELEN,ÇELEN,ÇELİM,1
NİÇİN,ÖÇÇÜN,NİÇİN,ÇEÇEN,ÖÇÇÜN,NİÇİN,BİÇİŞ,2
NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,3
NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,4
NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,NİÇİN,5
FALAN,MULAJ,MULAJ,MULAJ,MULAJ,MULAJ,MULAJ,1
FALAN,SALAK,SALAK,HALAS,SALAK,SALAK,AHLAK,1
FALAN,DALAN,DALAN,DALAŞ,DALAN,DALAN,SALAT,2
FALAN,PALAN,PALAN,PALAN,PALAN,PALAN,PALAN,3
FALAN,NALAN,NALAN,TALAN,NALAN,NALAN,DALAN,4
FALAN,TALAN,TALAN,YALAN,TALAN,TALAN,FALAN,5
DEVRE,GEÇEN,GEÇEN,GEÇEN,GEÇEN,GEÇEN,GEÇEN,1
DEVRE,KELME,KELLE,KEMRE,KELME,KELLE,DERME,1
DEVRE,SERME,SERME,DEVRE,SERME,SERME,DEVRE,2
DEVRE,CEHRE,CEHRE,DEVRE,CEHRE,CEHRE,DEVRE,3
DEVRE,GEBRE,DEVRE,DEVRE,GEBRE,DEVRE,DEVRE,4
DEVRE,DEVRE,DEVRE,DEVRE,DEVRE,DEVRE,DEVRE,5
REJİM,ÜNSÜZ,ÜNSÜZ,ÜNSÜZ,ÜNSÜZ,ÜNSÜZ,ÜNSÜZ,1
REJİM,KARAA,ARAKA,MALAK,KARAA,KAKAÇ,TARİK,1
REJİM,TERİR,ŞERİR,UMUMİ,BERİE,BEYİT,CEVİR,2
REJİM,REHİR,REDİF,DEYİM,DERİR,DEVİR,REJİM,3
REJİM,RECİT,RECİM,BETİM,RERİM,REJİM,REJİM,4
REJİM,REJİM,REJİM,GERİM,RECİM,REJİM,REJİM,5
KAĞIT,HİTAM,HİTAM,HİTAM,HİTAM,HİTAM,HİTAM,1
KAĞIT,TARTA,TRATA,CUNTA,TARTA,ZARTA,TARTI,1
KAĞIT,AALET,PALET,APORT,TANIT,TANIT,KAYIT,2
KAĞIT,KAKIT,KASIT,ÇAŞIT,KAKIT,KAĞIT,KAĞIT,3
KAĞIT,KANIT,KANIT,SAKIT,KAĞIT,KAĞIT,KAĞIT,4
KAĞIT,KAYIT,KAYIT,KALIT,KAĞIT,KAĞIT,KAĞIT,5
SİVİL,ASPUR,ASPUR,ASPUR,ASPUR,ASPUR,ASPUR,1
SİVİL,SESİE,KELES,SEZGİ,SESİE,SECDE,SEKİL,1
SİVİL,SİSLL,FOSİL,SİFON,SİNÜK,SİNİK,SİCİL,2
SİVİL,SİĞİL,SİĞİL,SİLİŞ,SİLİM,SİLİS,SİĞİL,3
SİVİL,SİĞİL,SİCİL,SİĞİL,SİĞİL,SİĞİL,SİTİL,4
SİVİL,SİĞİL,SİVİL,SİCİL,SİĞİL,SİVİL,SİVİL,5
BANKA,HAMEL,HAMEL,HAMEL,HAMEL,HAMEL,HAMEL,1
BANKA,KARAA,KARAY,SAĞRI,KARAA,KARAY,TARAK,1
BANKA,SAKKA,TAKSA,GAYYA,SAKKA,SAİKA,BAŞKA,2
BANKA,ŞANKA,ŞAPKA,FACİA,ŞATKA,VATKA,BANKA,3
BANKA,ŞANKA,BANKA,ŞAŞAA,ŞANKA,ŞAPKA,BANKA,4
BANKA,BANKA,BANKA,KAÇTA,BANKA,BANKA,BANKA,5
ÇABUK,KAŞAN,KAŞAN,KAŞAN,KAŞAN,KAŞAN,KAŞAN,1
ÇABUK,SAKİK,SAKİL,ÇALKI,SAKİK,SAKİT,SAKIT,1
ÇABUK,BARIK,BAROK,ÇABUK,BALIK,BALIK,MALİK,2
ÇABUK,TABIK,ÇABUK,ÇABUK,MABUK,ÇABUK,BAROK,3
ÇABUK,ÇABUK,ÇABUK,ÇABUK,ÇABUK,ÇABUK,ÇABUK,4
ÇABUK,ÇABUK,ÇABUK,ÇABUK,ÇABUK,ÇABUK,ÇABUK,5
İMKAN,ALAZA,ALAZA,ALAZA,ALAZA,ALAZA,ALAZA,1
İMKAN,KARAR,KARYE,İDRAK,KARAR,KARYE,TARİK,1
İMKAN,İOKAK,NİKAH,İMKAN,İOKAK,SOKAK,MİKAP,2
İMKAN,İSKAN,İSKAN,İMKAN,İİKAN,İMKAN,İMKAN,3
İMKAN,İNKAN,İMKAN,İMKAN,İMKAN,İMKAN,İMKAN,4
İMKAN,İMKAN,İMKAN,İMKAN,İMKAN,İMKAN,İMKAN,5
